Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
3,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 2 (FM2),EfW Incineration,70.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,,447490,424684,The Planning Inspectorate - National Infrastructure,01/09/2016,20/12/2019,,operational
4,Energy Power Resources,Thetford Biomass Power Station,Biomass (dedicated),38.50,Operational,Operational,Norfolk,Eastern,England,,585300,286900,Breckland,,02/10/1998,,operational
14,Dalkia,Chilton Energy Plant,Biomass (dedicated),18.00,Operational,Operational,County Durham,North East,England,,428049,530414,County Durham,01/03/2010,12/03/2012,,operational
22,Double H Nurseries,Double H Nurseries Biomass Plant,Biomass (dedicated),1.50,Operational,Operational,Hampshire,South East,England,BH25 5NQ,422804,94625,New Forest,,15/12/2012,,operational
23,REACT Energy (Kedco),Newry Biomass Phase 1 (Gasification),Advanced Conversion Technologies,2.00,Operational,Operational,Co. Down,Northern Ireland,Northern Ireland,,117392,488885,"Newry, Mourne and Down",,27/06/2012,,operational
24,Balfour Beatty,Beckton STW Biodiesel Power Plant,Biomass (dedicated),8.00,Operational,Operational,London,London,England,IG11 0AD,545350,181950,Newham,,01/12/2010,,operational
26,Living Power (REG Bio-Power),Buslingthorpe Power Station (Leeds North),Biomass (dedicated),2.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,LS7 2HG,430213,435435,Leeds,,14/10/2011,,operational
28,Balcas,Invergordon Pellet Mill,Biomass (dedicated),5.00,Operational,Operational,Highland,Scotland,Scotland,,271390,870450,Highland,,01/11/2009,,operational
33,Balcas Timber,Balcas Timber Biomass CHP Plant,Biomass (dedicated),2.50,Operational,Operational,Co. Fermanagh,Northern Ireland,Northern Ireland,BT94 2FQ,31750,505000,Fermanagh and Omagh,,14/11/2005,,operational
34,Caledonian Paper,Caledonian Papermill,Biomass (dedicated),26.00,Operational,Operational,Strathclyde,Scotland,Scotland,KA11 5AT,233710,634940,North Ayrshire,,04/06/2009,,operational
35,UK Wood Recycling,Wilton International,Biomass (dedicated),35.20,Operational,Operational,Cleveland,North East,England,TS90 8WS,458500,519500,Redcar and Cleveland,08/11/2006,26/03/2007,,operational
37,Bioflame,South View Farm,Biomass (dedicated),2.00,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,,480945,486785,North Yorkshire,,01/10/2007,,operational
41,Norbord,Cowie Biomass Facility,Biomass (dedicated),15.00,Operational,Operational,Stirling,Scotland,Scotland,FK7 7BW,284085,688685,Stirling,,01/02/2008,,operational
44,TPS (UK),Thornton Power Station,Biomass (dedicated),9.00,Operational,Operational,Lancashire,North West,England,,334526,443323,Wyre,,15/06/2002,,operational
46,A C Shropshire Ltd,Green's Lodge Farm,Anaerobic Digestion,2.00,Operational,Operational,Leicestershire,East Midlands,England,LE67 4UY,446531,314260,North West Leicestershire,,14/05/2013,,operational
47,Iggesund Paperboard (Workington),Iggesund Paperboard CHP Plant,Biomass (dedicated),49.00,Operational,Operational,Cumbria,North West,England,CA14 1JX,300293,530977,Cumberland,,17/02/2013,,operational
49,Ancillary Components,Goosey Lodge Industrial Estate,Biomass (dedicated),16.00,Operational,Operational,Bedfordshire,Eastern,England,NN10 9LU,496208,236736,Central Bedfordshire,,31/12/2000,,operational
57,"Western Bioenergy, affiliate of Western Log",Western Wood Energy Plant,Biomass (dedicated),14.00,Operational,Operational,West Glamorgan,Wales,Wales,,277930,186880,Neath Port Talbot,01/11/2006,01/11/2009,,operational
58,Eccleshal Biomass,Eccleshall Biomass,Biomass (dedicated),2.60,Operational,Operational,Staffordshire,West Midlands,England,ST21 6JL,383491,330826,Stafford,01/05/2006,12/09/2007,,operational
62,EPR Scotland,Westfield Biomass Power Station,Biomass (dedicated),12.50,Operational,Operational,Fife,Scotland,Scotland,,319000,695100,Fife,,21/08/2000,,operational
64,Plymouth Hospital NHS Trust,Derriford Hospital,Biomass (dedicated),1.50,Operational,Operational,Devon,South West,England,PL6 8DH,249930,59564,Plymouth,10/07/2014,01/10/2014,,operational
66,Cofely,Rampton Hospital Energy Centre,Biomass (dedicated),1.20,Operational,Operational,Nottinghamshire,East Midlands,England,DN22 0PD,477542,377676,Bassetlaw,01/02/2015,29/05/2015,,operational
68,Oak Grove Renewables,Oak Grove Biomass Facility,Anaerobic Digestion,2.00,Operational,Operational,Norfolk,Eastern,England,NR10 4DU,626522,324286,North Norfolk,,01/03/2014,,operational
72,Lockwood Estates,Land at Grange Farm,Anaerobic Digestion,1.10,Operational,Operational,Lincolnshire,East Midlands,England,LN8 2DN,497563,383132,West Lindsey,01/12/2013,01/12/2014,,operational
78,European Development Corporation,Elean Business Park Biomass Plant,Biomass (dedicated),40.00,Operational,Operational,Cambridgeshire,Eastern,England,,545000,279900,East Cambridgeshire,,22/09/2000,,operational
82,South Western Power (NOVERA),Eye Biomass Plant,Biomass (dedicated),14.30,Operational,Operational,Suffolk,Eastern,England,,613200,275200,Mid Suffolk,,01/07/1992,,operational
87,Suez Energy Services,King's Yard,Biomass (dedicated),3.00,Operational,Operational,London,London,England,E15 2JH,538424,183769,Newham,01/05/2009,25/07/2012,,operational
106,"MVV Energie, Ridham Dock",Ridham CHP Plant,Biomass (dedicated),25.00,Operational,Operational,Kent,South East,England,ME9 8SR,592076,168421,Swale,08/04/2013,18/04/2016,,operational
113,Glennmont Partners,Margam Green Energy Plant,Biomass (dedicated),40.00,Operational,Operational,West Glamorgan,Wales,Wales,,278940,186385,Neath Port Talbot,15/02/2015,01/12/2017,,operational
114,Merevale and Blyth Estates,Merevale & Blyth Estate (Biomass Plant),Biomass (dedicated),2.50,Operational,Operational,Warwickshire,West Midlands,England,CV9 2LA,428108,297173,North Warwickshire,28/08/2014,28/03/2015,,operational
115,Lynemouth Power,Lynemouth Power Station,Biomass (dedicated),420.00,Operational,Operational,Northumberland,North East,England,NE63 9YH,429850,590374,Northumberland,01/01/2016,21/11/2018,,operational
116,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 1 (FM1),EfW Incineration,68.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,WF11 8SQ,447490,424684,Wakefield,01/10/2012,03/08/2015,,operational
117,UYE (UK) / Veolia,Holbrook Community Renewable Energy Centre,Biomass (dedicated),6.50,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,S20 3GH,444564,381752,Sheffield,17/07/2015,24/04/2017,,operational
118,Alternative Use Group plc & Alchemy Farms,Riverside Industrial Estate Gasification Plant,Advanced Conversion Technologies,10.50,Operational,Operational,Lincolnshire,East Midlands,England,,533578,341831,Boston,04/04/2016,15/03/2018,,operational
120,Enviroparks Operations,Enviroparks Hirwaun Generation Site,Advanced Conversion Technologies,20.00,Operational,Operational,Mid Glamorgan,Wales,Wales,CF44 9YN,293857,206832,Rhondda Cynon Taf,18/02/2016,01/09/2019,,operational
121,Estover Energy,Cramlington CHP,Biomass (dedicated),27.70,Operational,Operational,Northumberland,North East,England,NE23 1JY,424308,578123,Northumberland,01/09/2015,15/03/2018,,operational
122,Private Developer,Tyrone Energy 1,Biomass (dedicated),2.10,Operational,Operational,Co. Tyrone,Northern Ireland,Northern Ireland,BT82 0HA,53147,564212,Derry City and Strabane,01/08/2011,06/08/2012,,operational
124,ERE Developments,Evermore Renewable Energy (CHP) / Lisahally Power Station,Biomass (dedicated),15.00,Operational,Operational,Co. Derry / Londonderry,Northern Ireland,Northern Ireland,BT47 6FL,64627,583737,Derry City and Strabane,19/12/2013,23/07/2015,,operational
127,Markley Group,Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),2.10,Operational,Operational,Gloucestershire,South West,England,GL2 2RN,380652,212428,Stroud,,19/04/2012,,operational
129,Heathrow Airport,Heathrow Airport Biomass CHP,Biomass (dedicated),1.80,Operational,Operational,London,London,England,,507124,174485,Hillingdon,01/06/2012,01/01/2013,,operational
130,REG Bio-Power,Bentwaters CHP,Biomass (dedicated),4.60,Operational,Operational,Suffolk,Eastern,England,,634882,253510,East Suffolk,,01/11/2010,,operational
132,GDF SUEZ ENERGY UK,SAICA Paper Mill,Biomass (dedicated),41.60,Operational,Operational,Greater Manchester,North West,England,,372220,392117,Trafford,,16/03/2012,,operational
139,Eco Sustainable Solutions,Eco Composting,Biomass (dedicated),3.20,Operational,Operational,Dorset,South West,England,BH23 6BG,410184,98499,"Bournemouth, Christchurch and Poole",28/10/2016,22/03/2017,,operational
140,Scottish Bio-Power,Rothes Bio-Plant,Biomass (dedicated),8.30,Operational,Operational,Grampian,Scotland,Scotland,,327767,849116,Moray,01/05/2011,16/04/2013,,operational
143,"Icon, EEA Holdings & 2OC consortium",Beckton Gas Pressure Reduction Station,Biomass (dedicated),19.00,Operational,Operational,London,London,England,,545005,181988,Newham,30/04/2013,30/03/2015,,operational
148,Cogen,Ince Bio Power,Advanced Conversion Technologies,21.50,Operational,Operational,Cheshire,North West,England,CH2 4N,345500,376500,Cheshire West and Chester,29/10/2015,30/04/2017,,operational
150,Eco2,Brigg Renewable Energy Plant ,Biomass (dedicated),40.00,Operational,Operational,Humberside,Yorkshire and Humber,England,DN20 9LT,498860,406109,North Lincolnshire,19/06/2014,23/02/2016,,operational
152,Tilbury Green Power,Tilbury Green Power,Biomass (dedicated),43.00,Operational,Operational,Essex,Eastern,England,RM18 7NU,563330,176110,Thurrock,15/04/2015,26/10/2017,,operational
155,RWE,Markinch Biomass CHP Plant,Biomass (dedicated),65.00,Operational,Operational,Fife,Scotland,Scotland,,327988,701561,Scottish Government (S36),01/06/2009,18/02/2014,,operational
161,Greencoat Capital,Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),42.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,S60 1DP,441740,391937,Rotherham,26/11/2015,28/02/2019,,operational
166,E.ON UK,Blackburn Meadows Biomass Plant,Biomass (dedicated),30.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,,440075,391650,Sheffield,01/11/2011,07/07/2014,,operational
171,Charlesfield First LLP & Biogas Power,Charlesfield Biomass CHP Plant,Advanced Conversion Technologies,10.00,Operational,Operational,Borders,Scotland,Scotland,,358892,629839,Scottish Borders,01/05/2015,30/06/2015,,operational
172,Diageo,Diageo Biomass Energy Project,Biomass (dedicated),5.50,Operational,Operational,Fife,Scotland,Scotland,KY8 5RL,334567,700177,Fife,01/08/2009,08/05/2013,,operational
173,Burmeister & Wain Scandinavian Contractor (BWSC) ,Discovery Park,Biomass (dedicated),16.00,Operational,Operational,Kent,South East,England,CT13 9ND,633403,159180,Dover,23/06/2016,28/09/2018,,operational
174,Drax Power,Drax Biomass Power Station - Unit 1,Biomass (co-firing),645.00,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,,466650,427050,North Yorkshire,01/04/2013,30/07/2013,,operational
175,Drax Power,Drax Biomass Power Station - Unit 3,Biomass (dedicated),645.00,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,,466650,427050,North Yorkshire,01/04/2017,20/07/2017,,operational
179,Sunrise Renewables,King George Dock,Biomass (dedicated),9.00,Operational,Operational,Humberside,Yorkshire and Humber,England,HU9 5PR,513307,428707,"Kingston upon Hull, City of",15/04/2016,15/04/2018,,operational
182,Northampton General Hospital,Northampton General Hospital,Biomass (dedicated),1.90,Operational,Operational,Northamptonshire,East Midlands,England,NN1 5BD,476449,260399,West Northamptonshire,01/03/2015,01/03/2016,,operational
185,Burmeister & Wain Scandinavian Contractor A/S (BWSC),Snetterton Biomass Plant,Biomass (dedicated),44.20,Operational,Operational,Norfolk,Eastern,England,NR16 2JU,600731,290906,Breckland,20/01/2015,13/12/2016,,operational
186,Speyside Renewable Energy Partnership,Speyside Biomass CHP Plant,Biomass (dedicated),12.50,Operational,Operational,Grampian,Scotland,Scotland,,327641,845585,Moray,26/11/2014,24/06/2016,,operational
190,Burmeister & Wain Scandinavian (BWSC)/ Bioenergy Infrastructure Group,Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),20.00,Operational,Operational,Merseyside,North West,England,BT79 9HH,350091,384450,Halton,01/02/2015,06/02/2017,,operational
192,Drax Power,Drax Biomass Power Station - Unit 2,Biomass (dedicated),645.00,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,,466650,427050,North Yorkshire,,30/05/2014,,operational
196,E.ON  (formerly Powergen). Agent Environmental Planning and Management,Stevens Croft,Biomass (dedicated),50.40,Operational,Operational,Dumfries and Galloway,Scotland,Scotland,,312100,585100,Dumfries and Galloway,01/06/2006,15/12/2007,,operational
205,Unknown,Macphie of Glenbervie,Biomass (dedicated),1.20,Operational,Operational,Grampian,Scotland,Scotland,AB39 3YG,376500,780500,Aberdeenshire,,01/09/2008,,operational
206,Glenmont Partners,Sleaford Renewable Energy Plant,Biomass (dedicated),40.00,Operational,Operational,Lincolnshire,East Midlands,England,,508635,345855,North Kesteven,10/05/2012,28/11/2014,,operational
209,Holsworthy Biogas Company ( North Tamar Business Network),North Tamar Environ Project - Holsworthy  (Farm AD),Anaerobic Digestion,1.40,Operational,Operational,Devon,South West,England,,234450,105800,Torridge,,18/07/2002,,operational
210,Scottish Water Solutions,Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,1.00,Operational,Operational,Strathclyde,Scotland,Scotland,G67 3EN,277924,676998,North Lanarkshire,01/08/2009,28/09/2010,,operational
211,Shanks Group,Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,2.40,Operational,Operational,Strathclyde,Scotland,Scotland,,277924,676998,North Lanarkshire,01/09/2010,05/10/2011,,operational
212,Farmgen,Carr Farm (Farm AD),Anaerobic Digestion,1.00,Operational,Operational,Lancashire,North West,England,FY8 5RP,338850,428420,Fylde,01/06/2009,01/01/2010,,operational
213,Severn Trent Water,Stoke Bardolph energy crop (Farm AD),Anaerobic Digestion,2.00,Operational,Operational,Nottinghamshire,East Midlands,England,,464588,342496,Gedling,,10/07/2010,,operational
214,BV Dairy,BV Dairy  (Farm AD),Anaerobic Digestion,1.50,Operational,Operational,Dorset,South West,England,,387275,123550,Dorset,,05/01/2011,,operational
217,Viridor,South Manchester Resource Recovery Centre (AD),Anaerobic Digestion,2.00,Operational,Operational,Greater Manchester,North West,England,,383732,388642,Manchester,01/11/2010,01/01/2012,,operational
218,Viridor,Reliance Street Mechanical Biological Treatment Facility (MBT),Anaerobic Digestion,2.00,Operational,Operational,Greater Manchester,North West,England,M40 3EZ,388115,400842,Manchester,01/11/2010,07/04/2011,,operational
220,Local Generation,Fenmarc Fenland AD Plant (Waste AD),Anaerobic Digestion,1.50,Operational,Operational,Cambridgeshire,Eastern,England,PE15 0BA,539857,298688,Fenland,01/12/2011,01/11/2012,,operational
222,Staples Brothers,Marsh Farm  (Farm AD),Anaerobic Digestion,1.40,Operational,Operational,Lincolnshire,East Midlands,England,PE22 9HE,544727,350655,Boston,,24/02/2011,,operational
223,Global Renewables Lancashire,Thornton Waste Recovery Park (Waste AD),Anaerobic Digestion,1.90,Operational,Operational,Lancashire,North West,England,,333392,444767,Wyre,,01/05/2010,,operational
224,Global Renewables Lancashire,Farington Waste Recovery Park (Waste AD),Anaerobic Digestion,1.90,Operational,Operational,Lancashire,North West,England,,351423,423205,South Ribble,,01/09/2010,,operational
226,Fernbrook Bio Limited,Fernbrook AD Plant (Waste AD),Anaerobic Digestion,1.50,Operational,Operational,Northamptonshire,East Midlands,England,NN16 8XF,484016,280041,North Northamptonshire,,01/09/2010,,operational
227,Barfoots of Botley,Sefter Farm AD Plant (Farm AD),Anaerobic Digestion,1.00,Operational,Operational,West Sussex,South East,England,,489102,99582,Arun,,01/06/2010,,operational
228,Private Developer,Brookfield Farm AD Plant (Farm AD),Anaerobic Digestion,1.30,Operational,Operational,Staffordshire,West Midlands,England,,384502,319762,Stafford,,01/05/2010,,operational
229,Severn Trent (formerly Agrivert),Cassington AD (Waste AD),Anaerobic Digestion,2.10,Operational,Operational,Oxfordshire,South East,England,OX29 4FL,446279,211425,West Oxfordshire,,01/09/2010,,operational
230,Blakiston Houston Estate Company,BH Energy - Biogas (AD),Anaerobic Digestion,2.10,Operational,Operational,Co. Down,Northern Ireland,Northern Ireland,BT16 1TX,155489,531504,Lisburn and Castlereagh,,04/04/2012,,operational
231,Bio Capital Limited,Energen biogas Cumbernauld,Anaerobic Digestion,2.40,Operational,Operational,Strathclyde,Scotland,Scotland,G67 3EN,277889,676918,North Lanarkshire,,22/06/2011,,operational
232,GENeco,Bristol STW (Waste AD),Anaerobic Digestion,10.00,Operational,Operational,Avon,South West,England,BS11 0YS,353600,179530,"Bristol, City of",,04/12/2012,,operational
233,PROjEN,A C Shropshire (Farm AD),Anaerobic Digestion,2.50,Operational,Operational,Leicestershire,East Midlands,England,LE9 3LE,451758,298963,Blaby,,14/05/2013,,operational
235,Biogas Nord,Lowbrook Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,1.30,Operational,Operational,Dorset,South West,England,,378836,109350,Dorset,,26/06/2006,,operational
237,Geo E Gittus and Son,Symonds Farm Power Ltd (Farm AD),Anaerobic Digestion,1.40,Operational,Operational,Suffolk,Eastern,England,,580088,265389,West Suffolk,,01/03/2012,,operational
238,Hallwick Energy,Buttermilk Farm,Anaerobic Digestion,1.10,Operational,Operational,Hertfordshire,Eastern,England,SG9 9RH,534209,229393,East Hertfordshire,30/03/2011,01/05/2012,,operational
239,Private Developer,Spring Farm (biomass),Anaerobic Digestion,1.00,Operational,Operational,Norfolk,Eastern,England,,615969,316308,Broadland,,01/08/2011,,operational
240,Hallwick Energy,Trinity Hall Farm,Anaerobic Digestion,1.10,Operational,Operational,Bedfordshire,Eastern,England,LU7 9PY,498750,225450,Central Bedfordshire,,01/11/2012,,operational
242,Prosper Demulder / ReFood,Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,2.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,DN5 9SW,457265,404820,Doncaster,01/04/2011,09/09/2011,,operational
245,GWE Biogas,Sandhill Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,2.00,Operational,Operational,Humberside,Yorkshire and Humber,England,,498538,456147,East Riding of Yorkshire,,01/01/2011,,operational
247,Private Developer,Abbots moor Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,1.00,Operational,Operational,Shropshire,West Midlands,England,,337451,327233,Shropshire,,30/11/2012,,operational
249,Biffa,Poplars Anaerobic Digestion Facility (Waste AD),Anaerobic Digestion,6.00,Operational,Operational,Staffordshire,West Midlands,England,,399422,309599,Cannock Chase,01/06/2011,31/07/2011,,operational
251,Material Change,Reepham Road (Waste AD),Anaerobic Digestion,1.50,Operational,Operational,Norfolk,Eastern,England,,616498,316273,Broadland,31/07/2011,30/04/2012,,operational
256,Severn Trent Water,Coleshill STW (Waste AD),Anaerobic Digestion,2.40,Operational,Operational,Warwickshire,West Midlands,England,B46 1DA,419664,291273,North Warwickshire,03/03/2014,15/04/2015,,operational
257,Bio Dynamic,Colwick Industrial Estate (Farm and Food waste),Anaerobic Digestion,2.00,Operational,Operational,Nottinghamshire,East Midlands,England,NG4 2JT,463399,339854,Gedling,01/03/2014,30/09/2014,,operational
259,Barfoot Energy Projects,Green Waste Composting Facility (Waste AD),Anaerobic Digestion,1.20,Operational,Operational,Hampshire,South East,England,RG20,465377,146817,Basingstoke and Deane,,20/05/2014,,operational
260,Singleton Birch,Singleton Birch (Farm AD),Anaerobic Digestion,1.50,Operational,Operational,Humberside,Yorkshire and Humber,England,DN38 6AE,508839,411734,North Lincolnshire,27/07/2013,21/03/2014,,operational
261,Ancala Bioenergy (formerly Biogen),Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,1.00,Operational,Operational,Mid Glamorgan,Wales,Wales,CF44 0BX,300938,205377,Rhondda Cynon Taf,01/04/2014,15/09/2015,,operational
263,Greater Manchester Waste,Bredbury Park Way - AD Stockport (Waste AD),Anaerobic Digestion,2.00,Operational,Operational,Greater Manchester,North West,England,SK6 2SN,392500,392300,Stockport,01/07/2010,03/10/2011,,operational
265,Future Biogas,"Stud Farm, Rufford (Farm AD)",Anaerobic Digestion,2.20,Operational,Operational,Nottinghamshire,East Midlands,England,NG22 9HB,465057,362789,Newark and Sherwood,01/09/2016,30/03/2017,,operational
266,Scottish and Southern Energy (SSE) / William Tracey Ltd,Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,2.20,Operational,Operational,Strathclyde,Scotland,Scotland,KA24 4JJ,229333,650530,North Ayrshire,01/09/2010,11/05/2012,,operational
267,Kirk Environmental,Dryholme Farm (Farm AD),Anaerobic Digestion,1.00,Operational,Operational,Cumbria,North West,England,CA7 4PZ,312882,552124,Cumberland,01/02/2011,04/11/2011,,operational
269,Fife Council,Lochhead Landfill CHP,Anaerobic Digestion,1.70,Operational,Operational,Fife,Scotland,Scotland,,308683,690319,Fife,01/04/2012,31/03/2014,,operational
270,Ancala Bioenergy (formerly Biogen),Merevale & Blyth Estate (Waste AD),Anaerobic Digestion,2.00,Operational,Operational,Warwickshire,West Midlands,England,,428111,297109,North Warwickshire,28/05/2013,15/09/2015,,operational
271,Ancala Bioenergy (formerly Biogen),Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),Anaerobic Digestion,2.30,Operational,Operational,Hertfordshire,Eastern,England,,527584,235416,North Hertfordshire,02/05/2013,20/09/2014,,operational
272,Ancala Bioenergy (formerly Biogen),Westwood AD Plant (Farm AD),Anaerobic Digestion,2.00,Operational,Operational,Northamptonshire,East Midlands,England,,498144,263639,North Northamptonshire,,30/06/2009,,operational
273,Barway Farms /Shropshire Energy,May Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,2.40,Operational,Operational,Cambridgeshire,Eastern,England,CB7 4TF,559921,286678,East Cambridgeshire,,12/12/2013,,operational
275,Biogen (formerly Tamar Energy),Carousel Dairy AD Plant (Farm AD),Anaerobic Digestion,1.50,Operational,Operational,Hampshire,South East,England,RG25 2HR,460867,146936,Basingstoke and Deane,04/06/2013,10/12/2013,,operational
277,Cannington Bioenergy,Cannington Cold Stores,Anaerobic Digestion,3.30,Operational,Operational,Somerset,South West,England,TA5 2NJ,323366,138920,Somerset,,29/07/2009,,operational
278,McCain Foods,McCain Foods AD Plant (AD),Anaerobic Digestion,1.00,Operational,Operational,Cambridgeshire,Eastern,England,PE7 2PG,523801,297290,Fenland,,01/05/2010,,operational
280,Emerald Biogas,Preston Road AD Plant (Waste AD),Anaerobic Digestion,2.80,Operational,Operational,County Durham,North East,England,,427211,523486,County Durham,01/01/2013,28/10/2013,,operational
281,Lynton Development / Teg Environmental,East Dagenham Docks AD (AD),Anaerobic Digestion,1.40,Operational,Operational,London,London,England,RM9 6,548394,182415,Barking and Dagenham,01/10/2012,04/03/2014,,operational
282,Biogen (formerly Tamar Energy),Manor Farm (Farm AD),Anaerobic Digestion,1.50,Operational,Operational,Lincolnshire,East Midlands,England,PE12 8LR,540324,328455,South Holland,04/06/2013,31/12/2013,,operational
283,Olleco,Westcott Venture Park,Anaerobic Digestion,2.00,Operational,Operational,Buckinghamshire,South East,England,,470457,217300,Buckinghamshire,01/08/2011,07/11/2013,,operational
285,Private Developer,Swancote Farm AD (Farm AD),Anaerobic Digestion,2.20,Operational,Operational,Shropshire,West Midlands,England,WV15 5HB,374201,293951,Shropshire,01/04/2012,31/05/2012,,operational
286,Viridor,Glasgow Renewable Energy and Recycling Centre (Waste AD),Anaerobic Digestion,5.00,Operational,Operational,Strathclyde,Scotland,Scotland,G42 0PJ,259509,662366,Glasgow City,18/11/2013,15/12/2017,,operational
288,Wyke Farms,Wyke Farms Biogas (Farm AD),Anaerobic Digestion,1.00,Operational,Operational,Somerset,South West,England,BA4 6NX,366362,134820,Somerset,30/11/2012,19/09/2013,,operational
289,Shanks Group,South Kirkby Business Park (Waste AD),Anaerobic Digestion,6.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,WF9 4DG,443726,411990,Wakefield,17/07/2013,01/12/2015,,operational
290,Energy Works / The Spencer Group,Energy Works Hull - AD (Waste AD),Anaerobic Digestion,3.00,Operational,Operational,Humberside,Yorkshire and Humber,England,,510170,430424,"Kingston upon Hull, City of",05/07/2016,01/03/2018,,operational
291,Staples Brothers,Staples Anaerobic Digestion CHP Plant (Waste AD),Anaerobic Digestion,1.40,Operational,Operational,Lincolnshire,East Midlands,England,PE22 0SE,536298,350519,East Lindsey,,01/10/2011,,operational
294,Viridor / Wyvern Waste Services,Dimmer Anaerobic Digestor (Waste AD),Anaerobic Digestion,3.00,Operational,Operational,Somerset,South West,England,,361141,131346,Somerset,,01/10/2013,,operational
297,Severn Trent (formerly Agrivert),Wallingford (Waste AD),Anaerobic Digestion,2.40,Operational,Operational,Oxfordshire,South East,England,OX10 6SL,461566,190948,South Oxfordshire,,17/05/2013,,operational
301,Granville Ecopark,Granville Ecopark,Anaerobic Digestion,3.00,Operational,Operational,Co. Tyrone,Northern Ireland,Northern Ireland,BT70 1NJ,88500,521293,Mid Ulster,01/09/2013,10/06/2014,,operational
306,ReFood UK,Granox Biogas Plant,Anaerobic Digestion,5.00,Operational,Operational,Cheshire,North West,England,WA8 0PB,350392,384214,Halton,01/01/2013,18/06/2014,,operational
307,Prosper Demulder / ReFood,Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,Anaerobic Digestion,3.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,DN5 9SW,457265,404820,Doncaster,18/03/2014,02/06/2015,,operational
308,Severn Trent (formerly Agrivert),Trumps Farm (AD),Anaerobic Digestion,2.40,Operational,Operational,Surrey,South East,England,KT16 0EF,499459,165739,Runnymede,30/05/2013,28/02/2014,,operational
311,Biogen (formerly Tamar Energy),Ratty's Lane Sustainable Energy Facility (Waste AD),Anaerobic Digestion,3.00,Operational,Operational,Hertfordshire,Eastern,England,EN11 0RG,538126,209495,Broxbourne,31/03/2014,04/07/2016,,operational
312,Biffa/West Sussex County Council,Brookhurst Wood (Waste AD),Anaerobic Digestion,4.50,Operational,Operational,West Sussex,South East,England,RH12 4QD,517281,135056,Horsham,20/06/2013,01/07/2015,,operational
313,Biogen (formerly Tamar Energy),Halstead Renewable Power Project (Waste AD),Anaerobic Digestion,2.00,Operational,Operational,Essex,Eastern,England,,582782,230400,Braintree,04/06/2013,01/07/2014,,operational
317,Viridor,Walpole Landfill AD (Waste AD),Anaerobic Digestion,1.60,Operational,Operational,Somerset,South West,England,,331400,143200,Somerset,01/03/2012,02/02/2014,,operational
318,Ancala Bioenergy (formerly Biogen),Waen Biogas (Waste AD),Anaerobic Digestion,1.00,Operational,Operational,Clwyd,Wales,Wales,,304959,374970,Denbighshire,01/06/2013,04/08/2014,,operational
324,Welland Waste Management,Pebble Hall Farm - Food Waste AD,Anaerobic Digestion,4.00,Operational,Operational,Northamptonshire,East Midlands,England,LE17 6NJ,466125,284563,West Northamptonshire,15/01/2015,15/12/2015,,operational
325,St Nicholas Court Farms Ltd,St Nicholas Court Farm (AD) ,Anaerobic Digestion,1.20,Operational,Operational,Kent,South East,England,,625958,166890,Thanet,31/03/2014,01/12/2014,,operational
327,Wight Farm Energy,Gore Cross - AD,Anaerobic Digestion,2.20,Operational,Operational,Isle of Wight,South East,England,PO30 3A,452924,86485,Isle of Wight,21/12/2013,20/12/2014,,operational
328,ReFood UK,Dagenham Docks Biogas (Waste AD),Anaerobic Digestion,1.40,Operational,Operational,London,London,England,RM9 6LF,548310,182740,Barking and Dagenham,01/04/2016,07/07/2017,,operational
